出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","1","6451","訊芯-KY","1694747.00","1317828.00","376919.00","--","--","376919.00","92814.00","--","284105.00","28974.00","313079.00","81237.00","231842.00","--","--","231842.00","-6239.00","--","225603.00","231842.00","--","--","225603.00","--","--","2.30"
"114/03/26","104","1","6456","GIS-KY","15221217.00","14448341.00","772876.00","--","--","772876.00","945528.00","--","-172652.00","226243.00","53591.00","16231.00","37360.00","--","--","37360.00","-68464.00","--","-31104.00","37360.00","--","0.00","-31104.00","--","0.00","0.13"
"114/03/26","104","1","6464","台數科","761332.00","327344.00","433988.00","--","--","433988.00","124079.00","--","309909.00","-1716.00","308193.00","52008.00","256185.00","--","--","256185.00","192.00","--","256377.00","255724.00","--","461.00","255913.00","--","464.00","2.30"
"114/03/26","104","1","6504","南六","1489941.00","1206484.00","283457.00","--","--","283457.00","118544.00","--","164913.00","28559.00","193472.00","42680.00","150792.00","--","--","150792.00","-24429.00","--","126363.00","150792.00","--","0.00","126363.00","--","--","2.08"
"114/03/26","104","1","6505","台塑化","155034556.00","151440243.00","3594313.00","--","--","3594313.00","2350781.00","--","1243532.00","57801.00","1301333.00","178406.00","1122927.00","--","--","1122927.00","769718.00","--","1892645.00","1121947.00","--","980.00","1891655.00","--","990.00","0.12"
"114/03/26","104","1","6605","帝寶","3528366.00","2475666.00","1052700.00","--","--","1052700.00","578911.00","--","473789.00","-134602.00","339187.00","52347.00","286840.00","--","--","286840.00","-25693.00","--","261147.00","289259.00","--","-2419.00","264180.00","--","-3033.00","1.74"
"114/03/26","104","1","8011","台通","403718.00","296958.00","106760.00","--","--","106760.00","68829.00","--","37931.00","-16589.00","21342.00","5516.00","15826.00","--","--","15826.00","820.00","--","16646.00","37148.00","--","-21322.00","38000.00","--","-21354.00","0.38"
"114/03/26","104","1","8016","矽創","2098675.00","1489289.00","609386.00","--","--","609386.00","366214.00","--","243172.00","-1319.00","241853.00","44144.00","197709.00","--","--","197709.00","-11116.00","--","186593.00","195722.00","--","1987.00","184606.00","--","1987.00","1.65"
"114/03/26","104","1","8021","尖點","797056.00","553640.00","243416.00","--","--","243416.00","130130.00","-10.00","113276.00","-22302.00","90974.00","16926.00","74048.00","--","--","74048.00","-55015.00","--","19033.00","74090.00","--","-42.00","19775.00","--","-742.00","0.47"
"114/03/26","104","1","8033","雷虎","234653.00","157290.00","77363.00","2217.00","--","75146.00","126366.00","--","-51220.00","-15689.00","-66909.00","3925.00","-70834.00","--","--","-70834.00","-3422.00","--","-74256.00","-67776.00","--","-3058.00","-71198.00","--","-3058.00","-0.59"
"114/03/26","104","1","8039","台虹","1904788.00","1460478.00","444310.00","113.00","--","444197.00","221943.00","--","222254.00","-64743.00","157511.00","28643.00","128868.00","--","--","128868.00","-15126.00","--","113742.00","136069.00","--","-7201.00","121068.00","--","-7326.00","0.67"
"114/03/26","104","1","8046","南電","8035658.00","7308568.00","727090.00","--","--","727090.00","466888.00","--","260202.00","388832.00","649034.00","85603.00","563431.00","--","--","563431.00","-972768.00","--","-409337.00","563431.00","--","--","-409337.00","--","--","0.87"
"114/03/26","104","1","8070","長華*","4077501.00","3578141.00","499360.00","--","--","499360.00","262349.00","--","237011.00","25061.00","262072.00","38408.00","223664.00","-6.00","--","223658.00","23738.00","--","247396.00","150528.00","--","73130.00","154950.00","--","92446.00","1.96"
"114/03/26","104","1","8072","陞泰","448316.00","332009.00","116307.00","--","--","116307.00","73390.00","--","42917.00","-9335.00","33582.00","5679.00","27903.00","--","--","27903.00","--","--","27903.00","26089.00","--","1814.00","26089.00","--","1814.00","0.26"
"114/03/26","104","1","8081","致新","889674.00","574534.00","315140.00","--","--","315140.00","193928.00","--","121212.00","10877.00","132089.00","20918.00","111171.00","--","--","111171.00","27406.00","--","138577.00","112087.00","--","-916.00","139493.00","--","-916.00","1.31"
"114/03/26","104","1","8101","華冠","4847686.00","4474604.00","373082.00","--","--","373082.00","343261.00","--","29821.00","-98673.00","-68852.00","-684.00","-68168.00","0.00","--","-68168.00","-16429.00","--","-84597.00","-67236.00","--","-932.00","-83665.00","--","-932.00","-0.16"
