出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","104","3","8011","台通","2280519.00","3140078.00","5420597.00","820085.00","1128204.00","1948289.00","1018772.00","1014945.00","320259.00","5256.00","0.00","2359232.00","--","--","1113076.00","3472308.00","--","0.00","0.00","23.16"
"114/03/26","104","3","8016","矽創","4808743.00","1706925.00","6515668.00","2308601.00","76965.00","2385566.00","1191376.00","647291.00","2114753.00","-17690.00","--","3935730.00","--","--","194372.00","4130102.00","--","0.00","0.00","33.04"
"114/03/26","104","3","8021","尖點","3591880.00","3362061.00","6953941.00","1168224.00","914971.00","2083195.00","1592041.00","1216615.00","1593456.00","255529.00","--","4657641.00","--","--","213105.00","4870746.00","--","0.00","0.00","29.26"
"114/03/26","104","3","8033","雷虎","964283.00","777635.00","1741918.00","588063.00","49308.00","637371.00","1287291.00","164343.00","-466708.00","33715.00","--","1018641.00","--","--","85906.00","1104547.00","0.00","0.00","0.00","7.91"
"114/03/26","104","3","8039","台虹","8687586.00","2994642.00","11682228.00","3827538.00","1089551.00","4917089.00","2042858.00","1447952.00","3120893.00","108176.00","-98744.00","6621135.00","--","--","144004.00","6765139.00","--","8000.00","2318000.00","32.78"
"114/03/26","104","3","8046","南電","27114387.00","18947545.00","46061932.00","4451709.00","5118905.00","9570614.00","6461655.00","21916582.00","6986772.00","1126309.00","--","36491318.00","--","--","--","36491318.00","0.00","0.00","0.00","56.47"
"114/03/26","104","3","8070","長華*","8121337.00","6161820.00","14283157.00","5565143.00","1873629.00","7438772.00","769777.00","2361381.00","2031092.00","180743.00","-199781.00","5143212.00","--","--","1701173.00","6844385.00","0.00","0.00","2515000.00","69.07"
"114/03/26","104","3","8072","陞泰","2231622.00","856175.00","3087797.00","324807.00","8066.00","332873.00","1000000.00","1871.00","1716215.00","39.00","--","2718125.00","--","--","36799.00","2754924.00","--","0.00","0.00","27.18"
"114/03/26","104","3","8081","致新","4122902.00","1129114.00","5252016.00","1410281.00","49870.00","1460151.00","861721.00","1256430.00","1831948.00","-112097.00","-47131.00","3790871.00","--","--","994.00","3791865.00","--","0.00","443433.00","44.22"
"114/03/26","104","3","8101","華冠","11882918.00","3061179.00","14944097.00","9962944.00","789787.00","10752731.00","4186276.00","47021.00","7307.00","-51672.00","--","4188932.00","--","--","2434.00","4191366.00","0.00","0.00","0.00","10.01"
"114/03/26","104","3","8103","瀚荃","2896890.00","1104667.00","4001557.00","1428693.00","151958.00","1580651.00","782687.00","579180.00","805240.00","236190.00","--","2403297.00","--","--","17609.00","2420906.00","--","0.00","0.00","30.71"
