出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","102","4","6230","尼得科超眾","4392157.00","1119154.00","5511311.00","2478402.00","190841.00","2669243.00","863434.00","531823.00","1400403.00","46408.00","--","2842068.00","--","--","--","2842068.00","0.00","0.00","32.92"
"114/03/26","102","4","6235","華孚","1371021.00","1483933.00","2854954.00","1344951.00","107446.00","1452397.00","1614526.00","6497.00","-397377.00","178911.00","--","1402557.00","--","--","--","1402557.00","0.00","0.00","8.69"
"114/03/26","102","4","6239","力成","31484275.00","40459748.00","71944023.00","13823919.00","21058828.00","34882747.00","7791466.00","2914524.00","19542364.00","14599.00","-691501.00","29571452.00","0.00","--","7489824.00","37061276.00","0.00","15000000.00","38.70"
"114/03/26","102","4","6243","迅杰","1099895.00","38785.00","1138680.00","116982.00","5159.00","122141.00","752977.00","365641.00","-76918.00","1901.00","-27062.00","1016539.00","--","--","0.00","1016539.00","0.00","2000000.00","13.87"
"114/03/26","102","4","6257","矽格","6452018.00","4800255.00","11252273.00","2377305.00","1172845.00","3550150.00","3664595.00","1247045.00","2744818.00","-3142.00","-79829.00","7573487.00","--","--","128636.00","7702123.00","0.00","3373000.00","20.86"
"114/03/26","102","4","6269","台郡","13654699.00","5388486.00","19043185.00","7909867.00","3016280.00","10926147.00","2013015.00","1338333.00","4720840.00","44850.00","0.00","8117038.00","--","--","--","8117038.00","17500.00","0.00","40.33"
"114/03/26","102","4","6271","同欣電","6806069.00","5074668.00","11880737.00","1888444.00","474051.00","2362495.00","1629071.00","4858951.00","3121972.00","-91752.00","0.00","9518242.00","0.00","--","0.00","9518242.00","0.00","0.00","58.43"
"114/03/26","102","4","6277","宏正","2871572.00","2562410.00","5433982.00","1587050.00","465548.00","2052598.00","1194711.00","333120.00","1764310.00","549.00","--","3292690.00","--","--","88694.00","3381384.00","0.00","0.00","27.56"
"114/03/26","102","4","6278","台表科","20974705.00","8873600.00","29848305.00","13873769.00","2169650.00","16043419.00","2700315.00","2528350.00","5499632.00","-256785.00","--","10471512.00","--","--","3333374.00","13804886.00","0.00","0.00","38.78"
"114/03/26","102","4","6281","全國電","4366112.00","642718.00","5008830.00","2555282.00","298285.00","2853567.00","991729.00","466046.00","697488.00","0.00","0.00","--","0.00","0.00","--","2155263.00","0.00","0.00","21.73"
"114/03/26","102","4","6282","康舒","13306442.00","4212525.00","17518967.00","7627194.00","838824.00","8466018.00","5189943.00","945475.00","2503077.00","42596.00","--","8681091.00","--","--","371858.00","9052949.00","0.00","0.00","16.73"
"114/03/26","102","4","6283","淳安","1591900.00","780581.00","2372481.00","1103119.00","193313.00","1296432.00","1248805.00","33832.00","-191842.00","6353.00","-21099.00","1076049.00","--","--","0.00","1076049.00","0.00","2500000.00","8.79"
"114/03/26","102","4","6285","啟��","16797438.00","5472792.00","22270230.00","11338995.00","408630.00","11747625.00","3225014.00","2212882.00","5173321.00","-88612.00","--","10522605.00","--","--","--","10522605.00","362.00","0.00","32.75"
