出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","104","2","5215","科嘉-KY","883125.00","640467.00","242658.00","--","--","242658.00","129834.00","-1376.00","111448.00","17925.00","129373.00","27161.00","102212.00","--","--","102212.00","-38661.00","--","63551.00","103490.00","--","-1278.00","65108.00","--","-1557.00","1.90"
"114/03/26","104","2","5222","全訊","59366.00","37296.00","22070.00","--","--","22070.00","28091.00","--","-6021.00","-100.00","-6121.00","--","-6121.00","--","--","-6121.00","-42.00","--","-6163.00","-6121.00","--","--","-6163.00","--","--","-0.21"
"114/03/26","104","2","5225","東科-KY","3884920.00","3351546.00","533374.00","--","--","533374.00","527667.00","--","5707.00","75422.00","81129.00","14790.00","66339.00","0.00","--","66339.00","-75244.00","--","-8905.00","66339.00","--","--","-8905.00","--","--","1.10"
"114/03/26","104","2","5234","達興材料","1685069.00","1220711.00","464358.00","--","--","464358.00","296856.00","--","167502.00","-1738.00","165764.00","22133.00","143631.00","--","--","143631.00","-180.00","--","143451.00","143631.00","--","--","143451.00","--","--","1.54"
"114/03/26","104","2","5243","乙盛-KY","3812894.00","3291771.00","521123.00","--","--","521123.00","376256.00","--","144867.00","5759.00","150626.00","14617.00","136009.00","--","--","136009.00","-197831.00","--","-61822.00","144924.00","--","-8915.00","-50877.00","--","-10945.00","0.80"
"114/03/26","104","2","5244","弘凱","371984.00","271933.00","100051.00","0.00","0.00","100051.00","93808.00","--","6243.00","-11045.00","-4802.00","4821.00","-9623.00","--","--","-9623.00","-25723.00","--","-35346.00","-9623.00","--","--","-35346.00","--","--","-0.16"
"114/03/26","104","2","5258","虹堡","1023426.00","784331.00","239095.00","--","--","239095.00","150101.00","--","88994.00","-19964.00","69030.00","13874.00","55156.00","--","--","55156.00","-1679.00","--","53477.00","42357.00","--","12799.00","41433.00","--","12044.00","0.70"
"114/03/26","104","2","5269","祥碩","685085.00","375389.00","309696.00","--","--","309696.00","250887.00","--","58809.00","-8511.00","50298.00","7414.00","42884.00","--","--","42884.00","--","--","42884.00","42884.00","--","--","42884.00","--","--","0.76"
"114/03/26","104","2","5283","禾聯碩","2384958.00","1447112.00","937846.00","--","--","937846.00","662687.00","--","275159.00","-21.00","275138.00","53992.00","221146.00","--","--","221146.00","--","--","221146.00","221146.00","--","0.00","221146.00","--","0.00","3.82"
"114/03/26","104","2","5284","jpp-KY","580056.00","394024.00","186032.00","--","--","186032.00","90880.00","--","95152.00","-2981.00","92171.00","13309.00","78862.00","--","--","78862.00","-51588.00","--","27274.00","79328.00","--","-466.00","27802.00","--","-528.00","2.35"
"114/03/26","104","2","5285","界霖","1147235.00","940413.00","206822.00","--","--","206822.00","97972.00","--","108850.00","-11654.00","97196.00","23834.00","73362.00","0.00","--","73362.00","-17765.00","--","55597.00","73362.00","--","--","55597.00","--","--","1.08"
"114/03/26","104","2","5288","豐祥-KY","1833591.00","1491970.00","341621.00","--","19.00","341640.00","118406.00","--","223234.00","22765.00","245999.00","57199.00","188800.00","0.00","--","188800.00","-69734.00","--","119066.00","188800.00","0.00","0.00","119066.00","0.00","0.00","2.93"
"114/03/26","104","2","5306","桂盟","1570599.00","953373.00","617226.00","--","--","617226.00","219692.00","--","397534.00","5111.00","402645.00","98831.00","303814.00","--","--","303814.00","-60439.00","--","243375.00","303822.00","--","-8.00","243403.00","--","-28.00","2.78"
"114/03/26","104","2","5388","中磊","14909286.00","12912881.00","1996405.00","--","--","1996405.00","1440840.00","--","555565.00","49671.00","605236.00","110313.00","494923.00","--","--","494923.00","-43673.00","--","451250.00","497176.00","--","-2253.00","453612.00","--","-2362.00","2.16"
"114/03/26","104","2","5434","崇越","9454377.00","8285524.00","1168853.00","--","--","1168853.00","671627.00","--","497226.00","86249.00","583475.00","129156.00","454319.00","--","--","454319.00","-32066.00","--","422253.00","453422.00","--","897.00","421356.00","--","897.00","2.87"
"114/03/26","104","2","5469","瀚宇博","19487022.00","17840053.00","1646969.00","--","--","1646969.00","1876374.00","--","-229405.00","279313.00","49908.00","97726.00","-47818.00","--","--","-47818.00","-591879.00","--","-639697.00","41414.00","--","-89232.00","-347644.00","--","-292053.00","0.09"
"114/03/26","104","2","5471","松翰","1657026.00","951162.00","705864.00","--","--","705864.00","474541.00","--","231323.00","3352.00","234675.00","29977.00","204698.00","--","--","204698.00","-9406.00","--","195292.00","204698.00","--","--","195292.00","--","--","1.22"
"114/03/26","104","2","5484","慧友","543241.00","388922.00","154319.00","--","--","154319.00","245625.00","--","-91306.00","-15866.00","-107172.00","-365.00","-106807.00","--","--","-106807.00","-5105.00","--","-111912.00","-106807.00","--","0.00","-111912.00","--","0.00","-0.92"
