出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
"114/03/26","105","3","2382","廣達","628737052.00","595672458.00","33064594.00","4593.00","2793.00","33062794.00","19447126.00","--","13615668.00","681896.00","14297564.00","3064589.00","11232975.00","--","--","11232975.00","-1190069.00","--","10042906.00","11073158.00","--","159817.00","10083487.00","--","-40581.00","2.87"
"114/03/26","105","3","2383","台光電","16192037.00","11975449.00","4216588.00","--","--","4216588.00","1346811.00","--","2869777.00","-47470.00","2822307.00","843035.00","1979272.00","--","--","1979272.00","-457629.00","--","1521643.00","1976636.00","--","2636.00","1519617.00","--","2026.00","6.21"
"114/03/26","105","3","2385","群光","55861046.00","46464450.00","9396596.00","--","--","9396596.00","5824345.00","--","3572251.00","-794625.00","2777626.00","319571.00","2458055.00","--","--","2458055.00","398291.00","--","2856346.00","2124509.00","--","333546.00","2281958.00","--","574388.00","3.15"
"114/03/26","105","3","2387","精元","10262991.00","8790762.00","1472229.00","--","--","1472229.00","901318.00","--","570911.00","86051.00","656962.00","258735.00","398227.00","--","--","398227.00","-591417.00","--","-193190.00","433871.00","--","-35644.00","-110502.00","--","-82688.00","1.48"
"114/03/26","105","3","2388","威盛","3517321.00","2512766.00","1004555.00","--","--","1004555.00","1981902.00","--","-977347.00","1130226.00","152879.00","-7320.00","160199.00","--","--","160199.00","-257154.00","--","-96955.00","171799.00","--","-11600.00","-81622.00","--","-15333.00","0.35"
"114/03/26","105","3","2390","云辰","647964.00","541019.00","106945.00","--","--","106945.00","248235.00","--","-141290.00","93156.00","-48134.00","3655.00","-51789.00","--","--","-51789.00","-19572.00","--","-71361.00","-50482.00","--","-1307.00","-58372.00","--","-12989.00","-0.24"
"114/03/26","105","3","2392","正崴","63057048.00","56912465.00","6144583.00","--","--","6144583.00","6601161.00","--","-456578.00","937703.00","481125.00","249467.00","231658.00","--","--","231658.00","-1980063.00","--","-1748405.00","265555.00","--","-33897.00","-1563174.00","--","-185231.00","0.52"
"114/03/26","105","3","2393","億光","21674453.00","16260550.00","5413903.00","--","--","5413903.00","3661415.00","--","1752488.00","-47795.00","1704693.00","333932.00","1370761.00","--","--","1370761.00","-725411.00","--","645350.00","1345809.00","--","24952.00","662016.00","--","-16666.00","3.08"
"114/03/26","105","3","2395","研華","31197244.00","18429390.00","12767854.00","--","--","12767854.00","7873123.00","--","4894731.00","406756.00","5301487.00","1042271.00","4259216.00","--","--","4259216.00","-328690.00","--","3930526.00","4244420.00","--","14796.00","3930826.00","--","-300.00","6.72"
"114/03/26","105","3","2397","友通","2922941.00","1933566.00","989375.00","--","--","989375.00","458405.00","--","530970.00","-26786.00","504184.00","101028.00","403156.00","--","--","403156.00","18321.00","--","421477.00","403156.00","--","--","421477.00","--","0.00","3.52"
"114/03/26","105","3","2399","映泰","2262987.00","1993024.00","269963.00","--","--","269963.00","284375.00","--","-14412.00","-23738.00","-38150.00","2318.00","-40468.00","--","--","-40468.00","138.00","--","-40330.00","-40468.00","--","--","-40330.00","--","--","-0.23"
"114/03/26","105","3","2401","凌陽","5762699.00","3321051.00","2441648.00","--","--","2441648.00","2275936.00","-489.00","165223.00","92290.00","257513.00","73442.00","184071.00","0.00","--","184071.00","-84599.00","--","99472.00","66798.00","--","117273.00","-11033.00","--","110505.00","0.11"
"114/03/26","105","3","2402","毅嘉","4438490.00","4198834.00","239656.00","--","--","239656.00","337389.00","--","-97733.00","4866.00","-92867.00","-10084.00","-82783.00","--","--","-82783.00","-388405.00","--","-471188.00","-82783.00","0.00","0.00","-471188.00","0.00","0.00","-0.27"
"114/03/26","105","3","2404","漢唐","11474852.00","9735992.00","1738860.00","--","--","1738860.00","476816.00","--","1262044.00","137262.00","1399306.00","246396.00","1152910.00","--","--","1152910.00","-75426.00","--","1077484.00","1139580.00","--","13330.00","1064154.00","--","13330.00","4.79"
"114/03/26","105","3","2405","輔信","3368525.00","2747996.00","620529.00","--","--","620529.00","657139.00","77.00","-36533.00","17901.00","-18632.00","8211.00","-26843.00","--","--","-26843.00","-172290.00","--","-199133.00","-24841.00","--","-2002.00","-196679.00","--","-2454.00","-0.07"
"114/03/26","105","3","2406","國碩","14184304.00","12133876.00","2050428.00","--","--","2050428.00","747993.00","--","1302435.00","109005.00","1411440.00","529624.00","881816.00","--","--","881816.00","376913.00","--","1258729.00","168193.00","--","713623.00","453385.00","--","805344.00","0.50"
"114/03/26","105","3","2408","南亞科","29534545.00","20427823.00","9106722.00","--","--","9106722.00","3124039.00","--","5982683.00","-1682740.00","4299943.00","648859.00","3651084.00","--","--","3651084.00","-18846.00","--","3632238.00","3647236.00","--","3848.00","3628390.00","--","3848.00","1.33"
