出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值 
"114/03/26","105","2","8429","金麗-KY","6814795.00","941932.00","7756727.00","1117073.00","556953.00","1674026.00","1674810.00","1198707.00","3056971.00","146587.00","--","6077075.00","--","--","5626.00","6082701.00","0.00","0.00","0.00","47.17"
"114/03/26","105","2","8438","昶昕","1262152.00","1083836.00","2345988.00","937888.00","190081.00","1127969.00","628990.00","346491.00","217755.00","24783.00","--","1218019.00","--","--","--","1218019.00","--","0.00","0.00","19.36"
"114/03/26","105","2","8443","阿瘦","2086190.00","543025.00","2629215.00","938414.00","65994.00","1004408.00","668000.00","372702.00","578752.00","5353.00","--","1624807.00","--","--","--","1624807.00","0.00","0.00","0.00","24.32"
"114/03/26","105","2","8454","富邦媒","5159912.00","3914131.00","9074043.00","3521577.00","261172.00","3782749.00","1420585.00","3175583.00","1253696.00","-165874.00","-397175.00","5286815.00","--","--","4479.00","5291294.00","--","0.00","2000000.00","37.75"
"114/03/26","105","2","8462","柏文","343057.00","1143262.00","1486319.00","573614.00","81860.00","655474.00","391280.00","319620.00","105729.00","--","--","816629.00","--","--","14216.00","830845.00","0.00","628000.00","0.00","24.21"
"114/03/26","105","2","8463","潤泰材","1355597.00","3265419.00","4621016.00","1062404.00","1267955.00","2330359.00","1500000.00","656157.00","166680.00","-32180.00","--","2290657.00","--","--","--","2290657.00","0.00","0.00","0.00","15.27"
"114/03/26","105","2","8464","億豐","10288577.00","6408176.00","16696753.00","5490293.00","1280671.00","6770964.00","2930202.00","4571869.00","1959984.00","346886.00","--","9808941.00","--","--","116848.00","9925789.00","0.00","0.00","0.00","33.48"
"114/03/26","105","2","8466","美吉吉-KY","1824960.00","897261.00","2722221.00","855854.00","187783.00","1043637.00","587190.00","537514.00","441980.00","111900.00","--","1678584.00","--","--","--","1678584.00","0.00","0.00","0.00","28.59"
"114/03/26","105","2","8467","波力-KY","1428899.00","1068269.00","2497168.00","949299.00","77733.00","1027032.00","523600.00","861522.00","316466.00","-54754.00","-176698.00","1470136.00","0.00","--","0.00","1470136.00","--","0.00","2826000.00","29.68"
"114/03/26","105","2","8473","山林水","2963215.00","6568510.00","9531725.00","1332440.00","2832501.00","4164941.00","1191873.00","3064644.00","338539.00","0.00","--","4595056.00","0.00","--","771728.00","5366784.00","0.00","0.00","0.00","38.55"
"114/03/26","105","2","8476","台境*","670194.00","441040.00","1111234.00","462112.00","100734.00","562846.00","284174.00","226090.00","38264.00","-140.00","--","548388.00","--","--","--","548388.00","--","0.00","0.00","21.03"
"114/03/26","105","2","8478","東哥遊艇","2632217.00","859115.00","3491332.00","1322152.00","33122.00","1355274.00","664889.00","380000.00","604772.00","-1699.00","--","1647962.00","--","--","488096.00","2136058.00","--","0.00","0.00","24.79"
"114/03/26","105","2","8481","政伸","1004279.00","341795.00","1346074.00","423268.00","14358.00","437626.00","608669.00","29210.00","249685.00","20884.00","0.00","908448.00","0.00","--","0.00","908448.00","--","0.00","0.00","14.93"
